lat,lng,iso2,population
23.05,112.4667,CN,4151700
30.7083,111.2803,CN,4137900
24.4797,118.0819,CN,4110000
27.9814,116.3577,CN,4047200
24.3264,109.4281,CN,4041700
27.8407,113.1469,CN,4020800
31.95,35.9333,JO,4007526
21.5428,39.1728,SA,3976000
32.3062,118.3115,CN,3937868
27.7378,111.9974,CN,3931800
31.1289,104.395,CN,3877000
23.6842,113.0507,CN,3874000
12,8.5167,NG,3848885
31.334,118.3622,CN,3842100
47.6211,-122.3244,US,3789215
35.4333,139.6333,JP,3757630
37.3806,118.0125,CN,3748474
34.3609,107.1751,CN,3738700
34.8667,117.55,CN,3729140
29.5872,105.0635,CN,3702847
23.901,106.6194,CN,3669400
52.5167,13.3833,DE,3664088
41.1066,122.9895,CN,3645884
36.0617,103.8318,CN,3616163
35.7639,115.03,CN,3598740
37.7562,-122.443,US,3592294
35.229,113.2304,CN,3590700
24.6928,108.085,CN,3545700
45.5089,-73.5617,CA,3519595
42.3834,-83.1024,US,3506126
40.9739,117.9322,CN,3473201
35.1,129.0403,KR,3453198
36.7764,3.0586,DZ,3415811
33.0794,107.026,CN,3416196
32.6351,110.7755,CN,3398000
26.847,80.947,IN,3382000
43.1715,124.3644,CN,3385156
38.2655,109.7388,CN,3351436
36.1953,113.097,CN,3334565
21.95,108.6167,CN,3304400
31.8576,106.7559,CN,3283148
34.5809,105.7311,CN,3262549
22.5333,113.35,CN,3260000
30.5098,105.5737,CN,3252619
29.5854,103.7575,CN,3235759
32.8312,-117.1225,US,3220118
31.418,73.079,PK,3203846
30.4673,106.6336,CN,3205476
27.7233,109.1885,CN,3168800
32.9354,117.3531,CN,3164467
-17.7892,-63.1975,BO,3151676
39.9398,119.5881,CN,3146300
43.6172,122.264,CN,3139153
41.1144,121.1292,CN,3126463
32.2109,119.4551,CN,3113384
43.8225,87.6125,CN,3112559
23.7503,114.6923,CN,3093900
26.9167,75.8667,IN,3073350
38.4178,112.7233,CN,3067501
23.4833,111.3167,CN,3061100
9.0272,38.7369,ET,3041002
41.5757,120.4486,CN,3044641
-15.7939,-47.8828,BR,3015268
36.3069,59.6042,IR,3001184
24.8011,113.5927,CN,2997600
29.375,47.98,KW,2989000
22.7664,115.3331,CN,2993600
14.6333,121.0333,PH,2960048
44.9635,-93.2678,US,2977172
50.45,30.5236,UA,2963199
15.35,44.2,YE,2957000
30.0575,103.8381,CN,2950545
14.6099,-90.5252,GT,2934841
37.4639,126.6486,KR,2913024
26.6617,119.5228,CN,2910000
27.9942,-82.4451,US,2908063
46.5979,125.008,CN,2904532
25.4394,119.0103,CN,2900000
-6.95,107.5667,ID,2875673
-7.2458,112.7378,ID,2885555
-12.9708,-38.5108,BR,2886698
39.7621,-104.8759,US,2876625
41.8931,12.4828,IT,2872800
-16.4942,-68.1475,BO,2867504
40.8151,111.6629,CN,2866615
27.8431,112.9228,CN,2864800
